,Case Number,Type,Country,Gender,Fatality
3267,1967.12.21.R,Invalid,PAPUA NEW GUINEA,M,N
3268,1967.12.18,Unprovoked,FIJI,M,N
3269,1967.12.17,Unprovoked,AUSTRALIA,M,Y
3270,1967.12.14,Provoked,USA,M,N
3271,1967.11.30.b,Provoked,AUSTRALIA,M,N
3272,1967.11.30.a,Unprovoked,AUSTRALIA,M,N
3273,1967.11.15,Provoked,FIJI,M,N
3274,1967.11.04,Sea Disaster,PHILIPPINES,Unknown,Y
3275,1967.11.00,Invalid,SOUTH AFRICA,F,Y
3276,1967.10.26.R,Unprovoked,MEXICO,Unknown,Y
3277,1967.10.17,Unprovoked,USA,M,N
3278,1967.10.00,Unprovoked,TONGA,M,N
3279,1967.09.20,Invalid,USA,M,Y
3280,1967.09.13,Provoked,ITALY,M,Unknown
3281,1967.09.07.b,Provoked,PAPUA NEW GUINEA,Unknown,Unknown
3282,1967.09.07.a,Unprovoked,USA,Unknown,N
3283,1967.09.06,Unprovoked,PAPUA NEW GUINEA,M,Y
3284,1967.09.01,Unprovoked,PAPUA NEW GUINEA,M,Y
3285,1967.08.27,Provoked,USA,M,N
3286,1967.08.26,Unprovoked,JAPAN,M,Y
3287,1967.08.25,Unprovoked,ITALY,M,N
3288,1967.08.19,Unprovoked,AUSTRALIA,M,Y
3289,1967.08.15,Unprovoked,BERMUDA,F,N
3290,1967.08.14.R,Unprovoked,COLUMBIA,M,N
3291,1967.08.10,Invalid,AUSTRALIA,M,Y
3292,1967.08.07,Unprovoked,USA,M,N
3293,1967.08.00.b,Unprovoked,BAHAMAS,M,N
3294,1967.08.00.a,Unprovoked,SENEGAL,M,N
3295,1967.07.29,Unprovoked,USA,M,N
3296,1967.07.05,Unprovoked,TURKEY,M,Y
3297,1967.07.00,Invalid,USA,M,N
3298,1967.06.13,Provoked,USA,M,N
3299,1967.06.00,Provoked,ITALY,M,N
3300,1967.05.13,Provoked,AUSTRALIA,M,N
3301,1967.05.09,Provoked,AUSTRALIA,M,N
3302,1967.04.00,Provoked,UNITED KINGDOM,M,N
3303,1967.03.20,Provoked,NEW ZEALAND,M,N
3304,1967.03.19,Unprovoked,SOUTH AFRICA,M,N
3305,1967.03.12,Provoked,AUSTRALIA,M,N
3306,1967.03.10,Invalid,AUSTRALIA,Unknown,Y
3307,1967.03.09,Unprovoked,NEW ZEALAND,M,Y
3308,1967.03.01,Unprovoked,PAPUA NEW GUINEA,M,N
3309,1967.02.06,Sea Disaster,MEXICO,M,Y
3310,1967.01.27,Boat,SOUTH AFRICA,Unknown,N
3311,1967.01.22,Provoked,SOUTH AFRICA,M,N
3312,1967.01.21,Unprovoked,MOZAMBIQUE,M,N
3313,1967.01.06,Provoked,AUSTRALIA,M,N
3314,1966.12.31,Unprovoked,AUSTRALIA,M,N
3315,1966.12.27.b,Provoked,AUSTRALIA,M,N
3316,1966.12.27.a,Unprovoked,AUSTRALIA,M,N
3317,1966.12.26,Unprovoked,SINGAPORE,M,N
3318,1966.12.26,Unprovoked,AUSTRALIA,M,N
3319,1966.11.14,Unprovoked,THAILAND,Unknown,Unknown
3320,1966.11.00,Unprovoked,PAPUA NEW GUINEA,F,Y
3321,1966.10.30,Unprovoked,PAPUA NEW GUINEA,F,Y
3322,1966.10.29,Unprovoked,PAPUA NEW GUINEA,F,Y
3323,1966.09.27,Unprovoked,AUSTRALIA,M,N
3324,1966.09.19,Provoked,USA,M,N
3325,1966.09.18,Invalid,AUSTRALIA,M,N
3326,1966.09.13,Provoked,AUSTRALIA,M,Unknown
3327,1966.09.10,Unprovoked,AUSTRALIA,M,N
3328,1966.09.08.b,Provoked,USA,M,N
3329,1966.09.00,Invalid,BAHAMAS,M,N
3330,1966.08.28,Boat,AUSTRALIA,M,N
3331,1966.08.27.b,Invalid,SOUTH AFRICA,M,N
3332,1966.08.27.a,Unprovoked,BAHAMAS,F,N
3333,1966.08.21.b,Unprovoked,NEW BRITAIN,F,Y
3334,1966.08.21.a,Unprovoked,NEW BRITAIN,F,Y
3335,1966.08.16,Unprovoked,CROATIA,M,Y
3336,1966.08.14,Unprovoked,TAIWAN,M,N
3337,1966.08.13,Unprovoked,ITALY,M,N
3338,1966.08.00.b,Invalid,USA,M,N
3339,1966.08.00.a,Unprovoked,USA,M,N
3340,1966.07.31,Unprovoked,USA,M,N
3341,1966.07.19,Provoked,USA,M,N
3342,1966.07.17.b,Unprovoked,USA,M,N
3343,1966.07.17.a,Unprovoked,TAIWAN,M,Y
3344,1966.07.14,Unprovoked,PAPUA NEW GUINEA,F,Y
3345,1966.07.03,Invalid,USA,M,N
3346,1966.07.02,Boat,CARIBBEAN SEA,Unknown,N
3347,1966.06.22,Provoked,USA,M,N
3348,1966.06.11,Provoked,USA,M,N
3349,1966.06.04,Unprovoked,USA,M,N
3350,1966.06.02,Provoked,FRENCH POLYNESIA,M,N
3351,1966.05.20.c,Sea Disaster,AUSTRALIA,M,Y
3352,1966.05.20.b,Unprovoked,AUSTRALIA,M,N
3353,1966.05.20.a,Sea Disaster,AUSTRALIA,M,Y
3354,1966.05.16.b,Invalid,USA,M,N
